study,study_sample,sample_no,publishedyear,country,continent,samplingtype,psychotic_n,delusion_n,ethnicity,globeculturalcluster,diagnosiscoded,mooddisordercoded,setting,scale,validatedmeasure,clinicalassessment,percentfemales,agemean,psychosisdurationyears,percentantipsychoticmedication,qa,theme,cases
Grunfeld 2023,Grunfeld 2023 S_3,3,2023,Canada,North America,Purposive,135,126.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.274,24.58,,,8,n_guilt/sin,13.0
Grunfeld 2023,Grunfeld 2023 S_2,2,2023,Canada,North America,Purposive,120,115.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.238,23.74,,,8,n_guilt/sin,11.0
Grunfeld 2023,Grunfeld 2023 S_1,1,2023,Canada,North America,Purposive,125,119.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.288,23.28,,,8,n_guilt/sin,25.0
Grunfeld 2023,Grunfeld 2023 S_4,4,2023,Canada,North America,Purposive,120,117.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.358,24.72,,,8,n_thoughtinsertion,17.0
Grunfeld 2023,Grunfeld 2023 S_3,3,2023,Canada,North America,Purposive,135,126.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.274,24.58,,,8,n_thoughtinsertion,20.0
Grunfeld 2023,Grunfeld 2023 S_2,2,2023,Canada,North America,Purposive,120,115.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.238,23.74,,,8,n_thoughtinsertion,22.0
Grunfeld 2023,Grunfeld 2023 S_2,2,2023,Canada,North America,Purposive,120,115.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.238,23.74,,,8,n_reference,79.0
Grunfeld 2023,Grunfeld 2023 S_3,3,2023,Canada,North America,Purposive,135,126.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.274,24.58,,,8,n_reference,86.0
Grunfeld 2023,Grunfeld 2023 S_4,4,2023,Canada,North America,Purposive,120,117.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.358,24.72,,,8,n_reference,70.0
Grunfeld 2023,Grunfeld 2023 S_1,1,2023,Canada,North America,Purposive,125,119.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.288,23.28,,,8,n_reference,91.0
Hafner 1993,Hafner 1993 S_1,1,1993,Germany,Europe,Purposive,90,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.413,,3.73,,6,n_simpledelusionconcerningappearance,16.0
Hafner 1993,Hafner 1993 S_3,3,1993,Germany,Europe,Purposive,76,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.645,,3.73,,6,n_reference,56.0
Hafner 1993,Hafner 1993 S_2,2,1993,Germany,Europe,Purposive,110,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.543,,3.73,,6,n_reference,93.0
Hafner 1993,Hafner 1993 S_2,2,1993,Germany,Europe,Purposive,110,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.543,,3.73,,6,n_guilt/sin,18.0
Hafner 1993,Hafner 1993 S_1,1,1993,Germany,Europe,Purposive,90,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.413,,3.73,,6,n_reference,53.0
Hafner 1993,Hafner 1993 S_3,3,1993,Germany,Europe,Purposive,76,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.645,,3.73,,6,n_persecutory,52.0
Hafner 1993,Hafner 1993 S_2,2,1993,Germany,Europe,Purposive,110,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.543,,3.73,,6,n_persecutory,64.0
Hafner 1993,Hafner 1993 S_1,1,1993,Germany,Europe,Purposive,90,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.413,,3.73,,6,n_depersonalisation,13.0
Hafner 1993,Hafner 1993 S_2,2,1993,Germany,Europe,Purposive,110,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.543,,3.73,,6,n_misinterpretation,71.0
Hafner 1993,Hafner 1993 S_1,1,1993,Germany,Europe,Purposive,90,,German,Germanic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.413,,3.73,,6,n_persecutory,39.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_sexual,62.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_paranoid,130.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_hypochondriacal,32.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_grandiose_grandioseability_grandeur,80.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_inferiorty,16.0
Haward 1964,Haward 1964 S_1,1,1964,UK,Europe,Stratified,200,200.0,,Anglo,Psychosis,no,Inpatient,None used,Not validated,Unstructured,0.43,,,,3,n_religious,50.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_hypochondriacal,23.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_systemised,79.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_grandiose_grandioseability_grandeur,37.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_jealousy,6.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_guilt/sin,5.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_perception,79.0
Hayashi 2021,Hayashi 2021 S_1,1,2021,Japan,Asia,Purposive,108,108.0,Japanese,Confucian Asia,Schizophrenia,no,Both,DOAI,Validated,Structured,0.444,51.8,23.7,1.0,10,n_persecutory,98.0
Heilbrun 1978,Heilbrun 1978 S_1,1,1978,USA,North America,,32,32.0,,Anglo,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.469,39.3,,1.0,1,n_persecutory,25.0
Heilbrun 1978,Heilbrun 1978 S_1,1,1978,USA,North America,,32,32.0,,Anglo,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.469,39.3,,1.0,1,n_grandiose_grandioseability_grandeur,7.0
Heilbrun 1978,Heilbrun 1978 S_1,1,1978,USA,North America,,32,32.0,,Anglo,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.469,39.3,,1.0,1,n_sexual,4.0
Heilbrun 1978,Heilbrun 1978 S_1,1,1978,USA,North America,,32,32.0,,Anglo,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.469,39.3,,1.0,1,n_control,5.0
Hui 2015,Hui 2015 S_1,1,2015,China,Asia,Stratified,71,71.0,Chinese,Confucian Asia,Delusional Disorder,no,Outpatient,SCID-IV,Validated,Structured,0.563,41.8,2.2,0.958,10,n_jealousy,9.0
Hui 2015,Hui 2015 S_1,1,2015,China,Asia,Stratified,71,71.0,Chinese,Confucian Asia,Delusional Disorder,no,Outpatient,SCID-IV,Validated,Structured,0.563,41.8,2.2,0.958,10,n_unspecified,1.0
Hui 2015,Hui 2015 S_1,1,2015,China,Asia,Stratified,71,71.0,Chinese,Confucian Asia,Delusional Disorder,no,Outpatient,SCID-IV,Validated,Structured,0.563,41.8,2.2,0.958,10,n_persecutory,55.0
Hui 2015,Hui 2015 S_1,1,2015,China,Asia,Stratified,71,71.0,Chinese,Confucian Asia,Delusional Disorder,no,Outpatient,SCID-IV,Validated,Structured,0.563,41.8,2.2,0.958,10,n_mixed_multiple_various,2.0
Hui 2015,Hui 2015 S_1,1,2015,China,Asia,Stratified,71,71.0,Chinese,Confucian Asia,Delusional Disorder,no,Outpatient,SCID-IV,Validated,Structured,0.563,41.8,2.2,0.958,10,n_somatic,4.0
Humpston 2020,Humpston 2020 S_2,2,2020,USA,North America,Purposive,156,101.0,Mixed American,Anglo,Psychosis,no,Inpatient,SADS,Validated,Structured,0.513,23.12,,,4,n_bizarre,10.0
Humpston 2020,Humpston 2020 S_2,2,2020,USA,North America,Purposive,156,101.0,Mixed American,Anglo,Psychosis,no,Inpatient,SADS,Validated,Structured,0.513,23.12,,,4,n_control,16.0
Humpston 2020,Humpston 2020 S_1,1,2020,USA,North America,Purposive,167,131.0,Mixed American,Anglo,Schizophrenia,no,Inpatient,SADS,Validated,Structured,0.377,23.05,,,4,n_bizarre,40.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_thoughtwithdrawal,11.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_alienation_thoughtalienation,3.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_persecutory,12.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_thoughtwithdrawal,2.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_persecutory,52.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_perception,5.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_passivity,32.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_religious,18.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_religious,1.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_thoughtinsertion,2.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_reference,3.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_reference,42.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_thoughtinsertion,32.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_passivity,2.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_alienation_thoughtalienation,32.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_grandiose_grandioseability_grandeur,4.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_grandiose_grandioseability_grandeur,29.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_madeaffect,5.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_madeaffect,2.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_nihilistic_negation,4.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_nihilistic_negation,1.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_somaticpassivity,13.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_madeimpulse,1.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_madeimpulse,5.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_somaticpassivity,2.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_somatic,12.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_thoughtbroadcasting_spokenaloud_dissemination,2.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_madeact,9.0
Husain 2009,Husain 2009 S_1,1,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Brief Psychotic Disorder,no,Inpatient,None used,Not validated,Structured,0.5,33.8,,,8,n_thoughtbroadcasting_spokenaloud_dissemination,27.0
Husain 2009,Husain 2009 S_2,2,2009,Iraq,Asia,Purposive,60,,Iraqi,Middle East,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.5,45.3,,,8,n_madeact,1.0
Jablensky 1992,Jablensky 1992 S_1,1,1992,Multiple,Multiple,Stratified,752,,Global ,Multiple,Schizophrenia,no,Both,PSE,Validated,Structured,0.408,,,,6,n_reference,369.0
Jablensky 1992,Jablensky 1992 S_2,2,1992,Multiple,Multiple,Stratified,274,,Global ,Multiple,Brief Psychotic Disorder,no,Both,PSE,Validated,Structured,0.475,,,,6,n_reference,124.0
Jablensky 1992,Jablensky 1992 S_2,2,1992,Multiple,Multiple,Stratified,274,,Global ,Multiple,Brief Psychotic Disorder,no,Both,PSE,Validated,Structured,0.475,,,,6,n_systemised,141.0
Jablensky 1992,Jablensky 1992 S_1,1,1992,Multiple,Multiple,Stratified,752,,Global ,Multiple,Schizophrenia,no,Both,PSE,Validated,Structured,0.408,,,,6,n_systemised,404.0
Jablensky 1992,Jablensky 1992 S_2,2,1992,Multiple,Multiple,Stratified,274,,Global ,Multiple,Brief Psychotic Disorder,no,Both,PSE,Validated,Structured,0.475,,,,6,n_persecutory,118.0
Jablensky 1992,Jablensky 1992 S_1,1,1992,Multiple,Multiple,Stratified,752,,Global ,Multiple,Schizophrenia,no,Both,PSE,Validated,Structured,0.408,,,,6,n_persecutory,331.0
Jolley 2006,Jolley 2006 S_1,1,2006,UK,Europe,Purposive,71,44.0,Mixed,Anglo,Psychosis,no,Both,SAPS,Validated,Structured,0.296,37.1,10.0,,8,n_grandiose_grandioseability_grandeur,14.0
Jolley 2006,Jolley 2006 S_1,1,2006,UK,Europe,Purposive,71,44.0,Mixed,Anglo,Psychosis,no,Both,SAPS,Validated,Structured,0.296,37.1,10.0,,8,n_persecutory,37.0
Jorgensen 1994,Jorgensen 1994 S_4,4,1994,Denmark,Europe,Purposive,24,24.0,Danish,Nordic Europe,Psychosis,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_reference,11.0
Jorgensen 1994,Jorgensen 1994 S_3,3,1994,Denmark,Europe,Purposive,10,10.0,Danish,Nordic Europe,Delusional Disorder,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_reference,0.0
Jorgensen 1994,Jorgensen 1994 S_2,2,1994,Denmark,Europe,Purposive,19,19.0,Danish,Nordic Europe,Mood Disorder,yes,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_reference,6.0
Jorgensen 1994,Jorgensen 1994 S_1,1,1994,Denmark,Europe,Purposive,35,35.0,Danish,Nordic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,8,n_reference,3.0
Jorgensen 1994,Jorgensen 1994 S_1,1,1994,Denmark,Europe,Purposive,35,35.0,Danish,Nordic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,8,n_influence,10.0
Jorgensen 1994,Jorgensen 1994 S_2,2,1994,Denmark,Europe,Purposive,19,19.0,Danish,Nordic Europe,Mood Disorder,yes,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_influence,1.0
Jorgensen 1994,Jorgensen 1994 S_4,4,1994,Denmark,Europe,Purposive,24,24.0,Danish,Nordic Europe,Psychosis,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_influence,2.0
Jorgensen 1994,Jorgensen 1994 S_3,3,1994,Denmark,Europe,Purposive,10,10.0,Danish,Nordic Europe,Delusional Disorder,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_influence,0.0
Jorgensen 1994,Jorgensen 1994 S_1,1,1994,Denmark,Europe,Purposive,35,35.0,Danish,Nordic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,8,n_persecutory,18.0
Jorgensen 1994,Jorgensen 1994 S_2,2,1994,Denmark,Europe,Purposive,19,19.0,Danish,Nordic Europe,Mood Disorder,yes,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_persecutory,4.0
Jorgensen 1994,Jorgensen 1994 S_4,4,1994,Denmark,Europe,Purposive,24,24.0,Danish,Nordic Europe,Psychosis,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_persecutory,8.0
Jorgensen 1994,Jorgensen 1994 S_3,3,1994,Denmark,Europe,Purposive,10,10.0,Danish,Nordic Europe,Delusional Disorder,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_persecutory,7.0
Jorgensen 1994,Jorgensen 1994 S_4,4,1994,Denmark,Europe,Purposive,24,24.0,Danish,Nordic Europe,Psychosis,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_other,2.0
Jorgensen 1994,Jorgensen 1994 S_3,3,1994,Denmark,Europe,Purposive,10,10.0,Danish,Nordic Europe,Delusional Disorder,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_other,3.0
Jorgensen 1994,Jorgensen 1994 S_2,2,1994,Denmark,Europe,Purposive,19,19.0,Danish,Nordic Europe,Mood Disorder,yes,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_other,4.0
Jorgensen 1994,Jorgensen 1994 S_1,1,1994,Denmark,Europe,Purposive,35,35.0,Danish,Nordic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,8,n_other,4.0
Jorgensen 1994,Jorgensen 1994 S_1,1,1994,Denmark,Europe,Purposive,35,35.0,Danish,Nordic Europe,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,8,n_guilt/sin,0.0
Jorgensen 1994,Jorgensen 1994 S_2,2,1994,Denmark,Europe,Purposive,19,19.0,Danish,Nordic Europe,Mood Disorder,yes,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_guilt/sin,4.0
Jorgensen 1994,Jorgensen 1994 S_3,3,1994,Denmark,Europe,Purposive,10,10.0,Danish,Nordic Europe,Delusional Disorder,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_guilt/sin,0.0
Jorgensen 1994,Jorgensen 1994 S_4,4,1994,Denmark,Europe,Purposive,24,24.0,Danish,Nordic Europe,Psychosis,no,Inpatient,PSE,Validated,Structured,0.614,39.0,,,6,n_guilt/sin,1.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_bizarre,3.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_bizarre,14.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_grandiose_grandioseability_grandeur,16.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_grandiose_grandioseability_grandeur,22.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_persecutory,39.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_persecutory,22.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_reference,8.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_other,15.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_reference,19.0
Junginger 1992,Junginger 1992 S_1,1,1992,USA,North America,Purposive,83,83.0,Mixed American,Anglo,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.325,30.8,9.400000000000002,,10,n_schneiderian,17.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_schneiderian,2.0
Junginger 1992,Junginger 1992 S_2,2,1992,USA,North America,Purposive,55,55.0,Mixed American,Anglo,Affective Psychosis,yes,Both,None used,Not validated,Unstructured,0.582,33.5,11.3,,10,n_other,15.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_animal,8.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_political,11.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_technology,25.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_other,7.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_vague,7.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_murder,46.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_naturecosmostruthlife,8.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_economy_business,20.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_machine_computer,25.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_philosophy,8.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_body,44.0
Kala 1978,Kala 1978 S_1,1,1978,India,Asia,Purposive,200,200.0,Indian,Southern Asia,Psychosis,no,Outpatient,None used,Not validated,Unstructured,0.465,,,,6,n_sexual,44.0
Kala 1982,Kala 1982 S_1,1,1982,India,Asia,Purposive,200,200.0,Hindu,Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.465,30.0,,,7,n_somatic,32.0
Kala 1982,Kala 1982 S_1,1,1982,India,Asia,Purposive,200,200.0,Hindu,Southern Asia,Schizophrenia,no,Outpatient,PSE,Validated,Structured,0.465,30.0,,,7,n_reference,119.0
